source,target
N0,N1
N0,N24
N0,N25
N0,N166
N0,N189
N0,N431
N0,N432
N0,N485
N1,N2
N1,N122
N1,N243
N1,N265
N1,N281
N1,N283
N2,N3
N2,N232
N2,N263
N2,N291
N2,N475
N3,N4
N3,N113
N3,N148
N3,N220
N3,N290
N4,N5
N4,N36
N4,N148
N4,N165
N4,N208
N4,N217
N4,N222
N4,N223
N4,N225
N4,N295
N4,N393
N4,N404
N5,N6
N5,N9
N5,N148
N5,N308
N5,N309
N5,N350
N5,N419
N5,N469
N5,N474
N6,N7
N6,N34
N6,N58
N6,N449
N7,N8
N7,N75
N7,N190
N7,N274
N7,N477
N7,N483
N7,N489
N8,N9
N8,N87
N8,N104
N8,N170
N8,N213
N8,N240
N8,N268
N8,N311
N8,N357
N8,N447
N9,N10
N9,N42
N9,N143
N9,N169
N9,N304
N9,N333
N9,N363
N9,N383
N9,N437
N10,N11
N10,N60
N10,N64
N10,N147
N10,N170
N10,N221
N10,N247
N10,N254
N10,N266
N11,N12
N11,N110
N11,N218
N11,N300
N11,N391
N11,N430
N11,N486
N12,N13
N12,N183
N12,N277
N13,N14
N13,N54
N13,N151
N14,N15
N14,N59
N14,N61
N14,N109
N14,N208
N14,N230
N14,N286
N14,N341
N15,N16
N15,N194
N15,N250
N15,N409
N16,N17
N16,N53
N16,N62
N16,N160
N16,N223
N16,N351
N16,N400
N16,N467
N17,N18
N17,N108
N17,N250
N17,N400
N18,N19
N18,N41
N18,N390
N18,N412
N18,N425
N18,N439
N18,N474
N19,N20
N19,N112
N19,N121
N19,N286
N19,N362
N20,N21
N20,N41
N21,N22
N21,N50
N21,N78
N21,N206
N21,N308
N21,N408
N21,N433
N22,N23
N22,N112
N22,N152
N22,N261
N22,N390
N22,N441
N22,N474
N22,N483
N23,N24
N23,N148
N23,N175
N23,N472
N24,N20
N24,N25
N24,N72
N24,N127
N24,N174
N24,N190
N24,N368
N25,N9
N25,N12
N25,N26
N25,N57
N25,N85
N25,N182
N25,N315
N25,N390
N25,N457
N25,N474
N26,N27
N26,N84
N26,N87
N26,N264
N26,N277
N26,N286
N26,N312
N26,N352
N26,N409
N26,N488
N27,N16
N27,N17
N27,N28
N27,N69
N27,N110
N27,N142
N27,N370
N27,N391
N27,N406
N28,N29
N28,N36
N28,N83
N28,N170
N28,N238
N28,N312
N29,N30
N29,N58
N29,N85
N29,N380
N29,N409
N29,N429
N30,N31
N30,N157
N30,N186
N30,N474
N31,N32
N31,N138
N31,N230
N31,N248
N31,N294
N31,N304
N31,N323
N31,N450
N32,N33
N32,N218
N32,N297
N32,N321
N33,N34
N33,N108
N33,N230
N33,N381
N33,N457
N33,N464
N34,N35
N34,N62
N34,N80
N34,N125
N34,N130
N34,N207
N34,N218
N34,N237
