rank,node,score,out_degree,in_degree
1,N738,0.00270660082841716,5,14
2,N576,0.00253169713883948,8,13
3,N290,0.00252716556936881,4,9
4,N199,0.00245938580396725,9,9
5,N422,0.00242022770140144,5,14
6,N427,0.00226137817180792,9,12
7,N941,0.00224641408106508,6,9
8,N420,0.00219939489476514,9,7
9,N711,0.0021981720273466,11,11
10,N530,0.00218081572037354,7,10
11,N371,0.00215628582875026,8,9
12,N518,0.00214323397425057,4,11
13,N871,0.00213908853669439,7,11
14,N999,0.0021277288076248,8,8
15,N849,0.00212290077498731,11,12
16,N836,0.00210235104971428,8,10
17,N412,0.00208100336059492,7,8
18,N381,0.00207978459870112,4,9
19,N9,0.00202342437859537,8,10
20,N541,0.00201298513691727,6,11
21,N822,0.00201249137810229,3,12
22,N461,0.00200091687878219,3,9
23,N919,0.00199554463309291,7,8
24,N768,0.00198629948471787,8,13
25,N966,0.00198337324199545,8,8
26,N288,0.00198180326603146,4,13
27,N306,0.00196250640929475,10,12
28,N878,0.00195257991088656,5,7
29,N646,0.00194819665492338,3,11
30,N33,0.00193840375834799,5,10
31,N823,0.00193141468382574,8,8
32,N405,0.00192947969308009,5,9
33,N208,0.00192899932176295,6,10
34,N979,0.00192618268573929,4,10
35,N246,0.00186539685354876,2,9
36,N42,0.00185553335875779,6,6
37,N327,0.00185056372330814,6,7
38,N794,0.00184949497387598,3,11
39,N657,0.00184799992861822,3,8
40,N536,0.00184566572322347,6,9
41,N534,0.0018450510896052,3,5
42,N221,0.00184183718136377,6,9
43,N149,0.0018378268385319,7,9
44,N52,0.00182202955434191,9,8
45,N27,0.0018024350292505,3,9
46,N346,0.00178633363890534,13,7
47,N66,0.0017823825028828,3,8
48,N817,0.00178164354164016,11,10
49,N719,0.00177291703459244,6,6
50,N713,0.00177027441382297,12,12
51,N219,0.00176873703079022,8,8
52,N67,0.00176264206792319,9,8
53,N760,0.00176173694885092,8,12
54,N377,0.00175340037484634,3,8
55,N382,0.00175094191783582,5,7
56,N857,0.00174691886830719,6,7
57,N299,0.00174662014521309,4,9
58,N978,0.00174114525506138,6,9
59,N418,0.0017386032879328,3,10
60,N525,0.00173773977284741,6,7
61,N69,0.00172325660624588,9,9
62,N923,0.00172217159469081,9,10
63,N865,0.00172057720750808,8,12
64,N656,0.00171615041465968,3,9
65,N432,0.00171183964810389,4,10
66,N918,0.00170595672149359,4,11
67,N121,0.00170451529518785,5,8
68,N224,0.00170368661177047,11,10
69,N28,0.00170113102258618,10,8
70,N465,0.00169845530579272,8,10
71,N32,0.00169462583523262,4,9
72,N889,0.00169331653848963,6,11
73,N771,0.00167861995714824,7,13
74,N391,0.00167803034593029,6,8
75,N14,0.00166765378346712,2,9
76,N927,0.00166457693918326,5,11
77,N624,0.00165784980947946,2,10
78,N2,0.00165614070504416,5,8
79,N38,0.00165447072916914,6,11
80,N286,0.00165328811723297,10,11
81,N556,0.00164395200228221,8,6
82,N696,0.00164164885692695,5,8
83,N197,0.00163117824009933,6,7
84,N65,0.00163045033987024,3,10
85,N491,0.00162898581110814,5,7
86,N268,0.00162487656029904,7,10
87,N457,0.00161754034273325,7,10
88,N265,0.00161086151181861,7,9
89,N602,0.00160150438433919,2,9
90,N856,0.00159433225283133,3,9
91,N157,0.00158816362536412,4,10
92,N222,0.00158168742533327,7,10
93,N325,0.00158129546611033,6,9
94,N3,0.00157876553705523,7,8
95,N730,0.00157863756726902,3,9
96,N289,0.00157565991666235,2,6
97,N720,0.00157545966823748,6,9
98,N105,0.0015747210545366,6,8
99,N714,0.0015706257511758,3,9
100,N354,0.00156945386013717,6,9
101,N356,0.00156888953475528,8,8
102,N802,0.00156265008859311,7,11
103,N885,0.00156204075229642,7,10
104,N869,0.00156125908666991,4,10
105,N249,0.00156058518851407,8,9
106,N832,0.00156055865914642,7,6
107,N954,0.0015515553354294,5,7
108,N551,0.00154938555955246,10,12
109,N585,0.00154597500369307,7,9
110,N390,0.00154580230145819,6,8
111,N749,0.00154574193542089,6,9
112,N392,0.00154038337690478,6,9
113,N625,0.00153298199427445,3,5
114,N731,0.00153219402017076,8,5
115,N472,0.00153194491522183,4,9
116,N343,0.00152946801818744,7,9
117,N558,0.00152891630158386,7,12
118,N470,0.00152386029619221,3,7
119,N920,0.00152373805197688,7,9
120,N403,0.00151807504366353,4,8
121,N389,0.00150749139156657,10,9
122,N272,0.00150625782535375,7,11
123,N15,0.00150372131969774,6,7
124,N973,0.00150349856852631,4,11
125,N644,0.0015023110608331,3,10
126,N347,0.00150178935303672,6,12
127,N801,0.00150140330372579,8,8
128,N96,0.001501035073343,8,11
129,N965,0.00150074227431392,2,10
130,N435,0.0014977103332115,5,5
131,N862,0.00149623983269305,6,9
132,N493,0.00149441222565027,4,7
133,N49,0.00149440866594809,5,11
134,N264,0.00148635709544353,4,8
135,N587,0.00148587965990759,3,8
136,N645,0.00148477059415577,5,7
137,N804,0.00148462485573412,5,8
138,N324,0.00148460965298954,6,9
139,N904,0.00147818919959191,6,7
140,N211,0.00147809857692116,3,9
141,N976,0.00147756176683193,9,7
142,N303,0.00147541905018897,6,6
143,N535,0.00147441861014493,5,7
144,N970,0.00147367794225919,11,6
145,N901,0.00147283004555368,6,6
146,N342,0.00147224358939823,5,6
147,N553,0.00146756798682923,5,8
148,N51,0.00146672818060347,4,9
149,N752,0.00146559348249581,8,9
150,N660,0.0014644716369198,6,9
151,N969,0.00146250088299146,3,9
152,N937,0.00145983144952811,10,8
153,N691,0.0014574164300235,6,8
154,N110,0.00145653061660157,11,8
155,N758,0.00145571993059872,6,8
156,N109,0.00145213747229305,6,8
157,N766,0.00144797578542421,8,8
158,N669,0.00144788482407361,6,9
159,N991,0.00143630056953161,5,8
160,N839,0.00143162251963592,5,10
161,N548,0.00142948317242746,9,6
162,N218,0.00142538462033539,5,8
163,N894,0.00141587805737909,4,9
164,N216,0.00141565435296329,10,9
165,N423,0.00141391553109303,7,7
166,N531,0.00141330845340307,4,9
167,N522,0.00141190065598977,7,8
168,N578,0.00140924928418697,7,7
169,N526,0.00140724574815386,5,7
170,N577,0.00140677515648733,5,8
171,N345,0.00140602320896127,6,6
172,N161,0.00140132810319909,2,7
173,N304,0.00139926003441364,4,10
174,N78,0.00139859981982799,6,8
175,N571,0.00139853072984539,5,9
176,N603,0.00139849381935796,10,5
177,N450,0.00139556235039543,4,9
178,N194,0.00139363333437422,8,5
179,N256,0.00139145417507743,14,9
180,N315,0.00138779840004372,8,7
181,N806,0.00138777585159273,8,9
182,N452,0.00138707354220549,3,7
183,N153,0.00138633270383291,6,8
184,N318,0.00138557986707643,4,9
185,N739,0.00137955199522164,8,6
186,N434,0.00137592961555659,2,7
187,N647,0.00137496227241422,5,5
188,N409,0.00137376123901064,8,8
189,N433,0.00137375781406563,3,8
190,N458,0.00137309930201128,9,10
191,N543,0.00137291488432516,3,8
192,N375,0.00137284779397098,6,9
193,N182,0.00137204889832966,5,8
194,N699,0.00137045655687519,9,8
195,N931,0.00136873686778605,10,7
196,N388,0.00136799760291554,4,9
197,N685,0.00136394678413296,5,9
198,N250,0.00136323744582498,6,5
199,N716,0.00136012466125706,6,9
200,N591,0.00135890288365317,9,7
201,N974,0.00135741252018743,8,7
202,N750,0.00135520604421284,6,6
203,N905,0.00135334823994001,9,9
204,N697,0.00135163646335779,5,7
205,N7,0.00135153231905819,8,6
206,N971,0.00135087569811989,8,8
207,N92,0.00134823057549652,8,7
208,N6,0.00134783093840656,4,7
209,N658,0.00134588758867323,9,5
210,N605,0.00134282621141741,7,9
211,N544,0.00134188638743555,7,7
212,N519,0.00134122206862006,3,6
213,N928,0.00133797694388815,3,8
214,N26,0.00133739919465866,8,8
215,N195,0.00133423495332067,8,9
216,N638,0.00132945445725854,5,9
217,N82,0.00132849855134457,8,9
218,N547,0.001323652958548,3,9
219,N596,0.00132289593059885,8,9
220,N942,0.00131846828488299,7,5
221,N653,0.00131605792019603,8,8
222,N980,0.00131550190131494,7,6
223,N562,0.00131516574676744,4,8
224,N406,0.00131313830793914,4,6
225,N569,0.00131272125317193,7,8
226,N704,0.00131222919718861,9,6
227,N487,0.00130934432810544,7,7
228,N220,0.00130728899262941,5,6
229,N952,0.00130621949290749,8,6
230,N572,0.00130573600949423,7,8
231,N626,0.00128887658406867,6,9
232,N53,0.00128732052718379,6,7
233,N270,0.00128702260440758,11,8
234,N18,0.00128665701924354,5,7
235,N302,0.00128421960327817,5,4
236,N209,0.00128025005076854,8,5
237,N93,0.0012774746759462,3,10
238,N565,0.00127728850234472,7,7
239,N622,0.00127667794015368,9,7
240,N344,0.00127478665376123,4,9
241,N528,0.0012723068318279,5,6
242,N19,0.00127059433382199,7,6
243,N126,0.00126977029104488,5,8
244,N895,0.00126423643097395,7,7
245,N795,0.00126293545216742,10,6
246,N97,0.00126181827028751,5,9
247,N12,0.00126110645250695,7,7
248,N851,0.00125865723830562,6,4
249,N378,0.0012569929939683,5,6
250,N601,0.00125549940173994,7,9
251,N798,0.00125524620313161,6,10
252,N238,0.00125471581189765,4,12
253,N759,0.00125291133540312,7,7
254,N198,0.00125246744492649,3,5
255,N119,0.00125026070456144,7,8
256,N212,0.00124733100335679,5,6
257,N533,0.00124590350433694,1,8
258,N890,0.00124548377167131,7,9
259,N721,0.00124361240001574,9,7
260,N910,0.00124316351717803,5,7
261,N537,0.00124275357716661,10,6
262,N642,0.00124223967829919,4,9
263,N307,0.00124192293899678,11,7
264,N735,0.00124153511366582,3,9
265,N883,0.0012393568580602,3,7
266,N128,0.00123860695382948,6,6
267,N861,0.0012365599073246,3,8
268,N411,0.00123536051122108,1,6
269,N827,0.0012348297942459,6,7
270,N929,0.00123322845666711,4,8
271,N139,0.00123008060924079,4,9
272,N148,0.00122893883608071,3,10
273,N55,0.00122676869348522,4,9
274,N732,0.00122668725008299,8,7
275,N23,0.00122653802682565,3,9
276,N298,0.00122371178682586,6,9
277,N958,0.00122125921670118,6,9
278,N641,0.00122041872601558,5,9
279,N43,0.00122011300629027,9,5
280,N404,0.00121942374480415,7,6
281,N819,0.00121154897615495,8,8
282,N189,0.00121025232960658,10,8
283,N604,0.00121024230925663,10,8
284,N611,0.0012102204917341,7,6
285,N443,0.00120922929873483,4,9
286,N715,0.00120825539734814,6,5
287,N316,0.00120746973590571,6,6
288,N838,0.00120228501826437,5,4
289,N837,0.00119876681867933,5,7
290,N724,0.0011978307332527,4,8
291,N185,0.00119671233934678,4,9
292,N419,0.0011957644927431,1,4
293,N442,0.00119468438626861,6,7
294,N511,0.00119366995733003,4,7
295,N992,0.00119207547963495,10,7
296,N831,0.00118990099925761,4,5
297,N127,0.00118930151421492,10,7
298,N595,0.00118662476123274,6,9
299,N401,0.00118589216287436,5,8
300,N588,0.00118397332960971,6,5
301,N953,0.0011822605290241,2,5
302,N293,0.00118142993192361,8,9
303,N606,0.00118070825778172,9,6
304,N229,0.00117970275913607,6,7
305,N107,0.00117962697302186,7,6
306,N855,0.00117895744089519,4,10
307,N614,0.00117047428473304,5,6
308,N263,0.00117034341324824,6,9
309,N777,0.00116786197776398,4,6
310,N990,0.00116725087126859,5,7
311,N599,0.00116673242479378,5,9
312,N176,0.00116603629859112,7,6
313,N654,0.00116565360023699,5,7
314,N949,0.00116540488315876,5,8
315,N597,0.00116456209288165,7,5
316,N916,0.00116448503552905,6,6
317,N986,0.00116292850528054,5,5
318,N130,0.00115925630699593,3,5
319,N227,0.00115851082532508,4,8
