rank,node,score,out_degree,in_degree
1,N2952,0.000571362632789962,8,9
2,N129,0.00054055361718447,7,15
3,N755,0.000511961097951673,5,15
4,N4816,0.000505132687587356,3,16
5,N3086,0.000504769393391357,4,12
6,N190,0.000502695395867254,3,11
7,N4176,0.000499093883025591,2,9
8,N2620,0.000490799571185047,3,9
9,N2058,0.000479416895136932,8,7
10,N1128,0.000477681788444439,3,9
11,N1842,0.000475069356125612,7,13
12,N708,0.000468693776768007,4,18
13,N3959,0.000465339271620143,8,15
14,N4356,0.000463443855101285,4,14
15,N2049,0.000462625033734136,6,11
16,N1235,0.000458621780415987,8,14
17,N2491,0.000458403451891402,6,11
18,N1202,0.000457036392368087,7,10
19,N1291,0.00045672976301964,10,14
20,N3804,0.000455080325418973,5,13
21,N3164,0.000444837991760821,6,6
22,N2901,0.00043889538838475,7,10
23,N2337,0.000433042231088655,2,13
24,N2550,0.000428757975177371,10,11
25,N3521,0.000427683024244151,8,10
26,N4179,0.000423121198121644,7,11
27,N3834,0.000419686984389168,4,13
28,N4237,0.000418452230396253,8,7
29,N2299,0.000418448201718996,7,12
30,N4224,0.000417905572411691,7,12
31,N95,0.000417701909662544,6,13
32,N3776,0.000417342052946184,9,12
33,N2347,0.000416664363644613,7,11
34,N2223,0.000415459596261562,3,13
35,N4162,0.000414515703066718,7,11
36,N2114,0.000413013733386003,6,13
37,N1865,0.000412952616101595,5,12
38,N3168,0.000412580115458838,7,12
39,N4542,0.000411637337178182,4,11
40,N2278,0.000411544493645848,5,10
41,N1456,0.000410267606197291,3,10
42,N1523,0.000408403411356073,5,8
43,N245,0.000407604207457976,4,10
44,N1582,0.000407385404337891,7,12
45,N3595,0.000407261224767673,6,8
46,N4273,0.000406683339197059,4,13
47,N1181,0.000403883465890814,4,13
48,N627,0.000400339613040093,6,11
49,N702,0.000399651467860785,3,9
50,N3143,0.000398332553910769,6,12
51,N152,0.000398158959308931,2,13
52,N2866,0.000398119814452364,9,12
53,N4177,0.00039511581985953,5,8
54,N3158,0.000394982973738003,9,8
55,N2791,0.000394258962708372,7,11
56,N3647,0.000393902040146563,8,10
57,N643,0.000392926899628072,4,10
58,N2118,0.000392363577912826,6,10
59,N143,0.000392281444375832,5,7
60,N1038,0.000390449663924294,6,13
61,N2417,0.000387831865182432,2,7
62,N3605,0.000386830866647314,8,8
63,N2899,0.000386763623454096,4,9
64,N2318,0.00038666557092959,6,12
65,N2646,0.000386466950523586,5,8
66,N1429,0.000386449547383461,3,12
67,N3442,0.000386353600097682,3,12
68,N1258,0.000386001906644234,7,10
69,N4533,0.00038586212488399,11,11
70,N796,0.000385672838363167,6,8
71,N1394,0.000384529680109052,6,13
72,N548,0.00038430664452404,6,11
73,N2260,0.000384101183135297,4,9
74,N1664,0.000384039065686762,6,15
75,N4087,0.000383822500797111,8,12
76,N4242,0.000383326965961191,4,12
77,N3412,0.000382921038002605,7,12
78,N217,0.00038220313468492,6,11
79,N4622,0.000381413626774482,5,15
80,N4152,0.000381313439159965,5,14
81,N3163,0.000380218055619396,1,9
82,N1493,0.000378980298220167,5,6
83,N1522,0.000378957524799173,2,13
84,N551,0.000377296670665006,9,12
85,N1260,0.000376495284701565,11,9
86,N1190,0.000376078890301219,9,8
87,N4283,0.000375933715360715,6,10
88,N4194,0.000375121972557578,7,13
89,N1238,0.000374971447667692,7,8
90,N2429,0.000374345974968273,7,12
91,N4238,0.000372766407655281,6,9
92,N3912,0.000372725999039051,6,11
93,N4441,0.000372461417533598,7,12
94,N4039,0.000371837098084761,6,8
95,N4907,0.000371337277618271,10,10
