rank,node,score,out_degree,in_degree
1,C,0.303842668278835,1,10
2,A,0.265766268015158,2,1
3,B,0.120450663899489,1,1
4,E,0.0338016917615083,2,2
5,G,0.0253439640845893,2,2
6,D,0.021865718998641,1,1
7,K,0.0215884719980319,2,1
8,M,0.0213521716208496,2,1
9,O,0.0206980529296875,2,1
10,Q,0.01888734375,2,1
11,F,0.0182711847359504,1,1
12,J,0.0166751005991636,2,1
13,L,0.0165746729388611,1,1
14,N,0.0162966724951172,1,1
15,P,0.01552712109375,1,1
16,I,0.0145869177546445,2,1
17,S,0.013875,2,1
18,H,0.0136994400457239,1,1
19,R,0.013396875,1,1
20,T,0.0075,1,0
